Date,PM10,SO2,CO,O3,NO2
2021010101,15.0,0.003,0.4,0.024,0.014
2021010102,,0.003,0.4,0.025,0.013
2021010103,15.0,0.003,0.4,0.027,0.009
2021010104,18.0,0.003,0.4,0.026,0.009
2021010105,22.0,0.003,0.4,0.024,0.012
2021010106,22.0,0.003,0.4,0.022,0.015
2021010107,22.0,0.003,0.4,0.017,0.02
2021010108,21.0,0.003,0.4,0.018,0.022
2021010109,24.0,0.003,0.5,0.012,0.031
2021010110,25.0,0.003,0.5,0.017,0.027
2021010111,23.0,0.004,0.4,0.014,0.033
2021010112,27.0,0.003,0.4,0.029,0.016
2021010113,16.0,0.003,0.4,0.031,0.015
2021010114,10.0,0.003,0.4,0.033,0.013
2021010115,8.0,0.004,0.4,0.03,0.018
2021010116,19.0,0.004,0.5,0.032,0.017
2021010117,15.0,0.004,0.5,0.031,0.018
2021010118,19.0,0.004,0.5,0.025,0.022
2021010119,25.0,0.003,0.5,0.023,0.024
2021010120,25.0,0.003,0.4,0.028,0.018
2021010121,20.0,0.003,0.4,0.028,0.016
2021010122,27.0,0.003,0.4,0.029,0.016
2021010123,28.0,0.003,0.4,0.024,0.02
2021010124,28.0,0.003,0.4,0.03,0.013
2021010201,25.0,0.003,0.4,0.021,0.021
2021010202,30.0,0.003,0.4,0.023,0.019
2021010203,25.0,0.003,0.5,0.018,0.023
2021010204,25.0,0.003,0.4,0.02,0.022
2021010205,23.0,0.003,0.4,0.028,0.013
2021010206,25.0,0.003,0.4,0.027,0.014
2021010207,28.0,0.003,0.4,0.025,0.015
2021010208,27.0,0.003,0.4,0.025,0.015
2021010209,26.0,0.003,0.4,0.027,0.013
2021010210,31.0,0.003,0.4,0.028,0.012
2021010211,30.0,0.003,0.4,0.027,0.015
2021010212,33.0,0.003,0.4,0.03,0.013
2021010213,34.0,0.003,0.4,0.035,0.01
2021010214,30.0,0.003,0.4,0.038,0.01
2021010215,32.0,0.003,0.4,0.037,0.011
2021010216,31.0,0.003,0.4,0.037,0.012
2021010217,38.0,0.003,0.4,0.035,0.014
2021010218,37.0,0.003,0.4,0.03,0.019
2021010219,35.0,0.003,0.4,0.026,0.022
2021010220,37.0,0.003,0.4,0.03,0.017
2021010221,33.0,0.003,0.4,0.028,0.017
2021010222,35.0,0.003,0.4,0.029,0.016
2021010223,36.0,0.003,0.4,0.027,0.017
2021010224,31.0,0.003,0.4,0.03,0.013
2021010301,34.0,0.003,0.4,0.03,0.011
2021010302,34.0,0.003,0.4,0.033,0.008
2021010303,31.0,0.003,0.4,0.031,0.009
2021010304,33.0,0.003,0.4,0.033,0.007
2021010305,27.0,0.003,0.4,0.032,0.008
2021010306,32.0,0.003,0.4,0.032,0.008
2021010307,28.0,0.003,0.4,0.029,0.011
2021010308,31.0,0.003,0.4,0.03,0.01
2021010309,29.0,0.003,0.4,0.028,0.012
2021010310,27.0,0.003,0.4,0.03,0.011
2021010311,24.0,0.003,0.4,0.034,0.009
2021010312,23.0,0.003,0.4,0.035,0.008
2021010313,26.0,0.003,0.4,0.036,0.007
2021010314,,0.003,0.4,0.037,0.009
2021010315,25.0,0.003,0.4,0.037,0.009
2021010316,21.0,0.003,0.4,0.036,0.009
2021010317,25.0,0.003,0.4,0.032,0.015
2021010318,24.0,0.003,0.4,0.027,0.02
2021010319,27.0,0.003,0.4,0.026,0.021
2021010320,27.0,0.003,0.4,0.027,0.02
2021010321,31.0,0.003,0.4,0.03,0.016
2021010322,29.0,0.003,0.4,0.028,0.018
2021010323,29.0,0.003,0.4,0.029,0.016
2021010324,28.0,0.003,0.5,0.028,0.015
2021010401,30.0,0.003,0.4,0.03,0.012
2021010402,28.0,0.003,0.4,0.032,0.009
2021010403,29.0,0.003,0.4,0.031,0.009
2021010404,27.0,0.003,0.4,0.033,0.008
2021010405,28.0,0.003,0.4,0.032,0.007
2021010406,29.0,0.003,0.4,0.03,0.01
2021010407,31.0,0.003,0.4,0.027,0.017
2021010408,30.0,0.004,0.7,0.004,0.052
2021010409,49.0,0.003,0.7,0.006,0.051
2021010410,54.0,0.004,0.7,0.009,0.046
2021010411,44.0,0.004,0.5,0.022,0.03
2021010412,44.0,0.003,0.5,0.023,0.028
2021010413,46.0,0.004,0.5,0.026,0.025
2021010414,48.0,,,,
2021010415,49.0,,,,
2021010416,41.0,0.004,0.5,0.036,0.02
2021010417,29.0,0.004,0.5,0.032,0.025
2021010418,35.0,0.004,0.6,0.016,0.041
2021010419,46.0,0.004,0.7,0.01,0.049
2021010420,46.0,0.004,0.7,0.006,0.054
2021010421,47.0,0.004,0.6,0.008,0.049
2021010422,43.0,0.004,0.7,0.006,0.05
2021010423,40.0,0.004,0.8,0.003,0.059
2021010424,47.0,0.004,0.8,0.003,0.059
2021010501,51.0,0.004,0.8,0.003,0.055
2021010502,49.0,0.004,0.5,0.029,0.022
2021010503,38.0,0.004,0.5,0.029,0.016
2021010504,43.0,0.005,0.5,0.035,0.013
2021010505,39.0,0.004,0.5,0.026,0.024
2021010506,37.0,0.004,0.6,0.014,0.039
2021010507,41.0,0.004,0.7,0.004,0.051
2021010508,39.0,0.004,0.7,0.006,0.052
2021010509,41.0,0.005,0.8,0.009,0.059
2021010510,71.0,0.004,0.5,0.03,0.022
2021010511,43.0,0.004,0.5,0.031,0.021
2021010512,50.0,0.004,0.5,0.038,0.014
2021010513,49.0,0.004,0.5,0.034,0.015
2021010514,49.0,0.004,0.5,0.031,0.017
2021010515,56.0,0.004,0.5,0.032,0.016
2021010516,38.0,0.004,0.4,0.032,0.015
2021010517,34.0,0.003,0.4,0.03,0.018
2021010518,27.0,0.003,0.5,0.019,0.032
2021010519,29.0,0.003,0.4,0.026,0.023
2021010520,21.0,0.003,0.4,0.026,0.023
2021010521,17.0,0.003,0.4,0.026,0.023
2021010522,22.0,0.003,0.4,0.026,0.021
2021010523,22.0,0.003,0.4,0.028,0.017
2021010524,19.0,0.004,0.4,0.031,0.014
