Date,PM10,SO2,CO,O3,NO2
20170101,50.000,0.006,0.508,0.019,0.034
20170102,60.125,0.008,0.513,0.018,0.037
20170103,55.500,0.006,0.487,0.020,0.035
20170104,82.708,0.008,0.646,0.020,0.044
20170105,41.000,0.006,0.488,0.017,0.035
20170106,28.792,0.009,0.388,0.014,0.034
20170107,25.708,0.010,0.425,0.014,0.035
20170109,42.708,0.007,0.479,0.022,0.027
20170111,25.125,0.005,0.346,0.022,0.023
20170112,44.292,0.007,0.471,0.022,0.025
20170113,37.833,0.006,0.408,0.022,0.023
20170114,28.000,0.004,0.300,0.023,0.014
20170115,26.000,0.004,0.312,0.021,0.017
20170116,27.000,0.005,0.367,0.016,0.027
20170117,50.750,0.007,0.617,0.006,0.047
20170118,75.000,0.009,0.629,0.016,0.040
20170119,91.333,0.009,0.671,0.015,0.045
20170120,60.375,0.008,0.517,0.026,0.025
20170121,31.958,0.005,0.337,0.022,0.024
20170122,32.250,0.006,0.333,0.026,0.017
20170123,31.500,0.005,0.342,0.024,0.021
20170124,24.792,0.005,0.337,0.021,0.026
20170125,30.292,0.006,0.392,0.017,0.033
20170127,33.000,0.009,0.371,0.032,0.020
20170128,31.417,0.013,0.413,0.016,0.035
20170129,37.833,0.011,0.579,0.010,0.042
20170201,37.542,0.004,0.396,0.022,0.025
20170203,45.583,0.006,0.438,0.018,0.035
20170204,61.708,0.010,0.562,0.017,0.046
20170205,31.458,0.009,0.404,0.026,0.021
20170206,45.292,0.009,0.379,0.030,0.023
20170208,65.375,0.006,0.571,0.014,0.043
20170209,42.083,0.003,0.296,0.035,0.015
20170210,35.958,0.002,0.300,0.032,0.015
20170211,34.208,0.002,0.300,0.030,0.016
20170212,30.500,0.003,0.333,0.031,0.017
20170213,56.667,0.006,0.467,0.026,0.033
20170214,69.000,0.006,0.475,0.022,0.038
20170215,75.750,0.008,0.696,0.013,0.057
20170217,61.417,0.006,0.400,0.039,0.023
20170218,34.000,0.003,0.304,0.034,0.016
20170219,60.500,0.004,0.404,0.034,0.025
20170220,57.583,0.004,0.388,0.039,0.018
20170221,52.917,0.004,0.392,0.022,0.031
20170223,42.750,0.003,0.367,0.030,0.018
20170224,33.333,0.003,0.342,0.032,0.022
20170225,60.125,0.005,0.471,0.029,0.032
20170226,49.167,0.006,0.425,0.035,0.025
20170227,43.250,0.005,0.417,0.022,0.031
20170228,48.583,0.005,0.537,0.021,0.040
20170301,63.208,0.007,0.533,0.025,0.045
20170303,45.125,0.006,0.400,0.021,0.035
20170304,54.708,0.008,0.533,0.019,0.042
20170305,52.500,0.010,0.517,0.019,0.042
20170306,55.125,0.005,0.379,0.039,0.021
20170308,44.292,0.005,0.354,0.038,0.022
20170309,59.917,0.006,0.417,0.040,0.028
20170310,64.500,0.008,0.504,0.033,0.035
20170311,58.000,0.013,0.467,0.036,0.040
20170312,69.292,0.015,0.567,0.037,0.047
20170313,77.875,0.015,0.463,0.044,0.038
20170315,42.125,0.003,0.383,0.037,0.030
20170316,52.458,0.005,0.417,0.034,0.037
20170317,75.292,0.008,0.500,0.033,0.053
20170318,82.042,0.009,0.617,0.026,0.063
20170319,84.625,0.014,0.517,0.055,0.035
20170321,58.500,0.004,0.400,0.042,0.028
20170322,82.542,0.005,0.525,0.031,0.042
20170323,88.042,0.010,0.571,0.031,0.049
20170324,53.333,0.006,0.375,0.036,0.034
20170325,42.042,0.005,0.338,0.037,0.030
20170328,62.292,0.004,0.483,0.036,0.036
20170329,63.375,0.004,0.492,0.025,0.043
20170330,85.375,0.006,0.483,0.034,0.044
20170331,64.500,0.004,0.413,0.037,0.035
20170401,38.292,0.003,0.400,0.033,0.031
20170402,41.750,0.004,0.350,0.041,0.024
20170403,64.375,0.005,0.450,0.043,0.039
20170405,53.208,0.006,0.392,0.038,0.041
20170406,45.708,0.005,0.458,0.029,0.036
20170407,60.042,0.006,0.546,0.032,0.039
20170409,71.292,0.009,0.446,0.045,0.033
20170410,46.958,0.004,0.325,0.045,0.024
20170411,29.458,0.005,0.379,0.037,0.029
20170413,86.500,0.008,0.496,0.045,0.045
20170414,72.042,0.006,0.413,0.053,0.035
20170416,72.042,0.010,0.562,0.016,0.042
20170417,36.958,0.007,0.446,0.015,0.036
20170418,61.500,0.004,0.442,0.040,0.030
20170420,95.292,0.010,0.496,0.024,0.044
20170421,69.083,0.006,0.396,0.047,0.036
20170422,67.750,0.005,0.404,0.043,0.029
20170423,55.958,0.006,0.404,0.039,0.031
20170425,58.875,0.006,0.392,0.030,0.037
20170427,54.792,0.005,0.400,0.039,0.031
20170428,68.875,0.007,0.446,0.041,0.039
20170429,92.542,0.008,0.500,0.056,0.044
20170430,98.125,0.011,0.504,0.058,0.046
20170502,43.292,0.008,0.346,0.036,0.028
20170503,56.250,0.019,0.404,0.025,0.043
20170504,61.208,0.013,0.396,0.030,0.039
20170505,43.500,0.008,0.412,0.023,0.034
20170506,141.958,0.004,0.317,0.043,0.020
20170507,147.708,0.006,0.388,0.063,0.022
20170508,148.208,0.010,0.513,0.039,0.051
20170509,67.833,0.006,0.354,0.037,0.034
20170510,48.167,0.006,0.417,0.031,0.031
20170511,88.208,0.007,0.479,0.037,0.043
20170513,70.833,0.010,0.425,0.032,0.034
20170514,65.292,0.005,0.342,0.052,0.023
20170515,52.292,0.005,0.346,0.038,0.031
20170516,56.083,0.010,0.383,0.035,0.041
20170517,80.583,0.017,0.438,0.025,0.050
20170519,68.875,0.007,0.454,0.051,0.045
20170520,60.542,0.009,0.425,0.041,0.048
20170521,59.500,0.008,0.408,0.036,0.041
20170522,79.042,0.017,0.500,0.023,0.053
20170523,85.542,0.012,0.421,0.014,0.044
20170525,73.958,0.009,0.433,0.031,0.045
20170526,56.417,0.009,0.321,0.038,0.033
20170527,53.042,0.006,0.371,0.037,0.036
20170528,45.167,0.007,0.367,0.042,0.033
20170529,69.958,0.009,0.521,0.028,0.054
20170530,122.292,0.013,0.654,0.022,0.074
20170531,89.167,0.010,0.421,0.012,0.042
20170602,53.875,0.008,0.354,0.034,0.045
20170603,46.750,0.003,0.346,0.046,0.040
20170604,54.708,0.009,0.375,0.049,0.043
20170605,40.083,0.003,0.342,0.039,0.037
20170606,38.958,0.007,0.296,0.033,0.037
20170608,49.917,0.002,0.408,0.046,0.044
20170609,69.625,0.004,0.513,0.044,0.059
20170610,71.417,0.004,0.458,0.047,0.044
20170611,47.958,0.005,0.292,0.043,0.025
20170612,42.667,0.002,0.246,0.033,0.027
20170614,77.792,0.007,0.404,0.030,0.060
20170615,79.167,0.008,0.446,0.048,0.058
20170616,51.042,0.005,0.321,0.033,0.033
20170617,37.792,0.006,0.308,0.027,0.032
20170618,50.042,0.011,0.350,0.026,0.044
20170619,82.500,0.010,0.446,0.020,0.065
20170620,72.833,0.009,0.400,0.021,0.054
20170621,50.833,0.005,0.346,0.040,0.045
20170623,67.125,0.013,0.379,0.016,0.055
20170624,64.583,0.008,0.371,0.031,0.048
20170625,67.417,0.016,0.371,0.018,0.044
20170626,64.042,0.005,0.346,0.028,0.040
20170627,51.042,0.008,0.337,0.028,0.042
20170629,88.000,0.010,0.479,0.011,0.061
20170630,41.333,0.006,0.358,0.017,0.045
20170701,37.417,0.007,0.221,0.013,0.028
20170702,31.542,0.004,0.204,0.006,0.023
20170703,28.750,0.003,0.212,0.005,0.022
20170705,47.208,0.019,0.304,0.007,0.049
20170707,39.333,0.005,0.288,0.005,0.037
20170708,44.917,0.006,0.242,0.007,0.031
20170709,41.708,0.005,0.242,0.013,0.029
20170710,42.708,0.002,0.221,0.009,0.022
20170711,47.125,0.004,0.300,0.015,0.039
20170712,77.500,0.004,0.400,0.032,0.047
20170713,66.458,0.006,0.371,0.020,0.048
20170714,62.708,0.006,0.325,0.019,0.046
20170715,59.833,0.007,0.242,0.007,0.034
20170716,29.292,0.004,0.158,0.015,0.020
20170718,38.833,0.007,0.354,0.018,0.035
20170719,57.167,0.010,0.317,0.033,0.053
20170721,79.875,0.009,0.404,0.016,0.061
20170723,56.250,0.011,0.346,0.029,0.042
20170725,58.500,0.015,0.433,0.009,0.047
20170726,32.875,0.005,0.221,0.030,0.029
20170727,34.875,0.006,0.217,0.027,0.032
20170728,39.292,0.009,0.279,0.021,0.045
20170729,39.375,0.005,0.237,0.029,0.029
20170730,37.208,0.011,0.212,0.026,0.032
20170731,49.083,0.007,0.271,0.026,0.036
20170801,44.667,0.006,0.312,0.024,0.032
20170802,34.333,0.007,0.304,0.021,0.032
20170803,31.042,0.004,0.208,0.028,0.024
20170804,33.542,0.005,0.233,0.029,0.027
20170805,28.083,0.005,0.221,0.028,0.023
20170806,24.708,0.005,0.196,0.024,0.017
20170807,33.750,0.009,0.246,0.025,0.032
20170809,37.167,0.010,0.312,0.024,0.044
20170810,32.625,0.006,0.329,0.027,0.031
20170811,29.875,0.005,0.267,0.017,0.027
20170812,28.417,0.004,0.208,0.018,0.019
20170813,19.750,0.004,0.171,0.016,0.016
20170814,18.333,0.004,0.200,0.014,0.023
